year,price
2006,91.32
1990,58.17
1992,8.15
2005,5.45
1992,53.02
2001,7.49
2011,22.65
1998,3.88
1989,83.51
2004,76.05
1993,46.38
2004,57.17
1993,24.2
1999,57.0
2007,94.41
1987,38.01
1984,35.5
1988,13.97
1984,98.93
1992,88.55
1990,31.77
1981,40.23
1984,97.46
2004,5.48
1991,26.17
1988,50.54
2009,35.74
2006,68.99
1996,65.06
1992,96.54
2004,10.13
2002,25.82
2003,77.92
2009,81.61
2009,28.78
2010,49.91
1992,26.21
2011,29.02
2006,82.59
2012,80.14
2005,45.74
2005,85.26
2006,33.74
2003,17.72
2006,51.51
2009,13.53
2011,9.98
2011,72.81
2000,1.96
2003,40.8
1992,98.99
2005,53.0
2008,23.21
1987,59.47
1997,30.16
1997,68.77
2003,61.35
2007,10.12
2010,2.89
2007,97.37
2006,31.22
2004,14.45
2004,92.13
2000,2.46
1992,87.13
2005,59.11
2009,17.76
2010,13.47
1996,7.04
1999,16.72
1966,84.18
2012,34.81
2002,14.04
1994,86.72
1992,9.45
2000,85.6
2004,16.57
2010,12.6
1999,72.28
2009,85.26
1997,64.91
1999,67.62
1997,4.43
2004,44.29
2004,64.87
1986,32.51
2005,81.07
2003,44.95
2001,20.13
1997,58.01
2006,91.27
2004,87.34
2005,90.84
1968,53.14
2006,15.33
1996,81.35
2005,42.72
1999,41.53
2008,62.88
1998,84.96
1987,47.74
2009,58.43
1997,84.14
1963,17.95
1999,23.47
2007,74.8
1996,96.4
2009,23.91
1996,31.79
2004,6.93
1990,33.53
1985,93.45
2007,90.67
1990,87.82
2005,51.71
2003,85.31
2000,26.58
1993,88.88
1997,56.54
2004,33.7
1995,42.42
1999,22.93
1995,39.76
2001,28.22
1992,28.62
2002,31.14
2010,82.54
1987,21.1
2004,92.75
1990,61.21
1988,81.46
2002,64.71
2000,66.19
1990,56.42
2002,93.24
1993,83.16
2000,4.41
2004,41.67
1996,69.13
2001,30.94
2001,70.47
1990,56.9
2001,53.08
1966,81.16
2006,32.54
2009,22.86
2009,46.45
1991,33.81
1987,96.37
2001,47.33
1984,82.74
2005,40.72
1985,28.96
1995,36.85
2006,77.1
2004,68.51
1999,1.06
1994,36.16
2007,66.14
2012,50.78
2003,32.35
1975,43.72
2007,23.48
2005,2.02
2002,82.99
2006,40.12
1996,80.75
1992,89.15
1995,6.08
2009,58.78
1995,90.1
2001,72.68
2003,73.17
1999,11.33
1998,50.67
2005,37.58
2000,27.58
2009,36.83
1997,51.82
2009,82.64
1990,26.57
